workload	mode	exit_code	duration_ms	classification
nginx	run	124	10005	timeout
nginx	verify	124	10005	timeout
nginx	chaos	124	10006	timeout
redis	run	124	10005	timeout
redis	verify	124	10006	timeout
redis	chaos	124	10006	timeout
sqlite3	run	0	44	pass
sqlite3	verify	0	259	pass
sqlite3	chaos	0	38	pass
python3	run	0	213	pass
python3	verify	0	1281	pass
python3	chaos	0	213	pass
python3_meta	run	124	10005	timeout
python3_meta	verify	124	10005	timeout
python3_meta	chaos	124	10005	timeout
java	run	0	1424	pass
java	verify	0	13405	pass
java	chaos	0	1332	pass
node	run	0	5135	pass
node	verify	0	43708	pass
node	chaos	124	60006	timeout
gcc	run	0	294	pass
gcc	verify	0	2654	pass
gcc	chaos	0	292	pass
rustc	run	0	685	pass
rustc	verify	0	4109	pass
rustc	chaos	0	650	pass
